DataSource,RecordType,ReferenceYear,Location_State_UT,Location_Region,Location_District,Location_Block_Mandal_Taluk_Valley_Unit,Category,Parameter,Value_Numeric,Value_Text,Unit
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Saline,Percentage of Assessment Units,2.0,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Saline,Recharge worthy Area,1.55,NotAvailable,lakh sq. km
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Saline,Recharge worthy Area Percentage,0.38,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Saline,Annual Extractable Ground Water Resource,-100.0,NotAvailable,bcm
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Saline,Annual Extractable Ground Water Resource Percentage,-100.0,NotAvailable,%
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Total,Number of Assessment Units,6553.0,NotAvailable,Count
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Total,Recharge worthy Area,24.67,NotAvailable,lakh sq. km
NCDGWR2023.pdf,National_AssessmentUnit_Categorization_Summary,2023,India,NotAvailable,NotAvailable,NotAvailable,Total,Annual Extractable Ground Water Resource,407.21,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2004,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Recharge,433.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2009,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Recharge,431.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2011,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Recharge,433.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2013,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Recharge,447.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2017,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Recharge,432.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2020,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Recharge,436.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2022,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Recharge,438.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2023,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Recharge,449.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2004,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resource,399.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2009,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resource,396.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2011,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resource,398.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2013,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resource,411.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2017,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resource,393.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2020,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resource,398.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2022,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resource,398.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2023,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Extractable Ground Water Resource,407.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2004,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction for Irrigation Domestic & Industrial uses,231.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2009,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction for Irrigation Domestic & Industrial uses,243.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2011,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction for Irrigation Domestic & Industrial uses,245.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2013,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction for Irrigation Domestic & Industrial uses,253.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2017,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction for Irrigation Domestic & Industrial uses,249.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2020,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction for Irrigation Domestic & Industrial uses,245.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2022,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction for Irrigation Domestic & Industrial uses,239.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2023,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Annual Ground Water Extraction for Irrigation Domestic & Industrial uses,241.0,NotAvailable,bcm
NCDGWR2023.pdf,Historical_National_GWR,2004,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,58.0,NotAvailable,%
NCDGWR2023.pdf,Historical_National_GWR,2009,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,61.0,NotAvailable,%
NCDGWR2023.pdf,Historical_National_GWR,2011,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,62.0,NotAvailable,%
NCDGWR2023.pdf,Historical_National_GWR,2013,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,62.0,NotAvailable,%
